,GiftId,Latitude,Longitude,Weight,distance,served,TripId,cluster,trip_index,trip_id
0,1,16.3457688674,6.30354512503,1.0,8189.976827850831,True,0,30,166.0,96.0
1,2,12.494749307000001,28.626395563499997,15.5244795726,8618.19066537627,True,0,23,134.0,75.0
2,3,27.794615135999997,60.0324947881,8.058498621950001,6916.923206849024,True,0,91,166.0,305.0
3,4,44.426992376899996,110.114216113,1.0,5067.487239622521,True,0,42,73.0,138.0
4,5,-69.8540884125,87.9468778773,25.0888919163,17774.96363486074,True,0,89,25.0,296.0
5,6,53.5679698071,-71.3593080866,38.0001512626,4051.056924811865,True,0,48,44.0,157.0
6,7,12.9025840371,79.9669489093,44.206616241800006,8572.841512479697,True,0,58,11.0,189.0
7,8,-6.29109889296,-64.89175089310001,1.0,10707.081677926635,True,0,81,270.0,270.0
8,9,-2.68531605304,111.089758191,1.0,10306.136919545526,True,0,62,146.0,207.0
9,10,38.4288618657,101.973670947,35.701311236900004,5734.448921819894,True,0,21,25.0,67.0
10,11,39.0901430146,72.6189278664,27.579921436,5660.917812976529,True,0,41,93.0,134.0
11,12,-15.5749342275,39.557295483400004,14.5519741369,11739.397066930975,True,0,60,149.0,199.0
12,13,73.1896497296,-106.60421992299999,4.98356232888,1869.2256651864654,True,0,38,55.0,122.0
13,14,57.068289723599996,134.171051275,23.6559977941,3661.8391084641603,True,0,97,91.0,323.0
14,15,-68.884672727,61.214391432,1.0,17667.169528823484,True,0,9,100.0,32.0
15,16,-40.740409704899996,-63.9527499451,20.8517645204,14537.67026661591,True,0,7,10.0,26.0
16,17,-66.3243912609,-65.0571157742,1.0,17382.47921901107,True,0,26,117.0,82.0
17,18,48.750631020600004,-124.57200120200001,6.884478779789999,4586.72055779872,True,0,64,26.0,213.0
18,19,34.2221051613,-99.39086305010001,45.808683012299994,6202.218924977158,True,0,40,10.0,127.0
19,20,-73.0838623546,-74.4172652937,43.21221951729999,18134.09811143106,True,0,26,26.0,80.0
20,21,18.6716243133,-95.7109355295,1.0,7931.353502158135,True,0,36,59.0,115.0
21,22,47.3626446387,61.06830691930001,27.113173180700002,4741.057601717735,True,0,51,52.0,167.0
22,23,-21.2828406251,-64.9940077309,1.0,12374.087300106114,True,0,33,160.0,107.0
23,24,36.4035868261,65.8513733791,1.0,5959.649231283272,True,0,91,230.0,305.0
24,25,52.218524018100005,10.2652145163,26.428845195100003,4201.108450330527,True,0,82,29.0,271.0
25,26,18.366745749,51.3729554921,38.394405676,7965.2544517509705,True,0,13,18.0,42.0
26,27,29.4414267718,86.2759975891,14.390330000799999,6733.806107808837,True,0,57,94.0,187.0
27,28,76.3334845992,-38.2394206523,1.0,1519.6471774786871,True,0,45,179.0,148.0
28,29,65.07172593050001,64.407895904,4.64246789893,2771.897606533507,True,0,39,91.0,126.0
29,30,38.3806598238,42.637998515700005,45.7284736705,5739.808744333081,True,0,83,10.0,273.0
30,31,62.5199597365,-43.2626103117,29.1597409335,3055.6410612894033,True,0,45,39.0,147.0
31,32,58.91667585890001,-128.640284481,8.92293396867,3456.307947738656,True,0,70,98.0,236.0
32,33,-8.634069542739999,-63.936685392799994,24.843535867199996,10967.608127459276,True,0,33,106.0,106.0
33,34,-76.194072717,-141.018317751,1.0,18479.937724527274,True,0,75,99.0,249.0
34,35,52.5635732888,71.6513211596,1.0,4162.7407219862835,True,0,12,177.0,41.0
35,36,31.0459810433,12.0027990632,14.282452761300002,6555.38781329218,True,0,53,77.0,173.0
36,37,50.242050756000005,-95.53774720930001,1.0,4420.882249724669,True,0,8,159.0,30.0
37,38,16.017500743,-12.088369373599999,1.0,8226.478577863236,True,0,77,181.0,256.0
38,39,8.058470935479999,48.127789326599995,1.0,9111.48231347228,True,0,68,140.0,229.0
39,40,75.2615103075,143.474184781,1.0,1638.845280209123,True,0,69,170.0,233.0
40,41,18.708564599000002,80.6150359492,37.6389183686,7927.245929799495,True,0,58,21.0,189.0
41,42,68.485725996,62.7979869733,29.7005922012,2392.278119685717,True,0,39,36.0,125.0
42,43,-77.051178651,-29.7725439517,6.24581768299,18575.24355598502,True,0,14,73.0,47.0
43,44,42.3207833178,-74.1174732856,8.44463550471,5301.68700144725,True,0,37,129.0,119.0
44,45,55.7981397383,114.30676997399999,6.52314409133,3803.0733429071797,True,0,3,134.0,16.0
45,46,67.7261456251,38.3591767147,1.0,2476.7396033085884,True,0,98,97.0,327.0
46,47,29.961693511300002,14.7260593997,1.0,6675.9550858745315,True,0,53,204.0,174.0
