,GiftId,Latitude,Longitude,Weight,distance,served,TripId,cluster,trip_index,trip_id
60000,60001,55.0475911461,-101.870008611,13.367808806800001,3886.530538560037,True,0,83,30.0,1670.0
60001,60002,20.7158585626,101.42618134700001,1.0,7704.045024762925,True,0,26,77.0,1550.0
60002,60003,-64.3657528538,-62.5624950732,14.4120772709,17164.688565010376,True,0,13,29.0,1526.0
60003,60004,-26.4161944837,-56.5764643553,30.084031554099997,12944.890205853702,True,0,76,28.0,1654.0
60004,60005,26.026268365700002,75.7935459937,20.6397910704,7113.554396254675,True,0,32,39.0,1562.0
60005,60006,-78.8814877556,75.9116759394,2.93382887356,18778.76464260789,True,0,24,60.0,1546.0
60006,60007,56.747848097799995,-128.1043455,18.6320730373,3697.470591538854,True,0,63,40.0,1625.0
60007,60008,42.728683046,56.1670849747,17.8906529111,5256.330621091715,True,0,60,55.0,1619.0
60008,60009,67.9075545999,-179.39077180400002,1.0,2456.567845663039,True,0,30,99.0,1557.0
60009,60010,-27.112350660700002,16.879545276400002,1.0,13022.299240888377,True,0,67,34.0,1634.0
60010,60011,44.855001788,34.8837767045,1.0,5019.894764552075,True,0,61,108.0,1621.0
60011,60012,58.4689445838,78.7405979465,1.0,3506.093394029874,True,0,33,102.0,1564.0
60012,60013,-21.5279047546,148.473104874,12.7610926472,12401.337188009078,True,0,0,52.0,1502.0
60013,60014,4.30697925744,10.930807433900002,12.717108475999998,9528.629155419609,True,0,52,71.0,1602.0
60014,60015,20.531153351,9.5276031566,2.25288341687,7724.583307217655,True,0,91,114.0,1684.0
60015,60016,23.246120518,106.676385241,32.1650566387,7422.6927322407055,True,0,88,1.0,1677.0
60016,60017,30.604283420199998,108.09066049299999,1.0,6604.502348091863,True,0,88,63.0,1678.0
60017,60018,22.9853142817,22.3623628752,1.0,7451.693062554527,True,0,18,106.0,1535.0
60018,60019,21.950574374200002,29.6268371982,14.952290536400001,7566.750890665186,True,0,18,61.0,1535.0
60019,60020,47.128025540500005,-91.59226721190001,9.17298306615,4767.1460551314985,True,0,53,97.0,1605.0
60020,60021,-77.7270877607,-154.49541088799998,1.0,18650.401219856496,True,0,7,30.0,1516.0
60021,60022,31.245369543200002,13.4753910111,6.358385457840001,6533.216823672031,True,0,91,79.0,1684.0
